HistoricalCode,BfsCode,Name,CantonId,Canton,DistrictId,District,FUA2014,DEGURB2021,FUA2021,GCITIES2021,STREG2022,DEGURB2011,GCITIES2011,REGCH,AGKG2020,STADTE2020,STGD2020,RSC2020,SPRGEB2020,AGKSA2020,AGGL2020,AGGLGK2020,MONT2019,STALAN2020,GDETYP2020_9,GDETYP2020_25,GBAE2018,BAE2018
11424,2128,Châtel-sur-Montsalvens,10,Fribourg / Freiburg,10105,District de la Gruyère,0,3,0,0,13,3,0,2,0,0,0,5,2,0,0,0,1,3,23,237,4,4020
11426,2325,Châtel-Saint-Denis,10,Fribourg / Freiburg,10101,District de la Veveyse,5586960,2,5586960,0,13,2,0,2,0,0,0,5,2,0,0,0,1,2,21,216,2,2050
11431,6612,Chêne-Bougeries,25,Genève,10187,Canton de Genève,6621960,1,6621960,6621950,10,1,6621950,1,6621801,1,6612,2,2,6621910,6621,1,0,1,11,113,1,1015
11439,6611,Chancy,25,Genève,10187,Canton de Genève,6621960,3,6621960,0,10,3,0,1,6621810,0,0,4,2,6621910,6621,1,0,2,22,227,1,1011
11451,3021,Bühler,15,Appenzell Ausserrhoden,10098,Bezirk Mittelland,3203960,3,3203960,0,2,3,0,5,3203810,0,0,4,1,3203910,3203,3,1,2,22,226,15,15050
11454,4003,Buchs (AG),19,Aargau,10026,Bezirk Aarau,0,1,4001960,4001950,14,2,0,3,4001801,0,0,2,1,4001910,4001,3,0,1,12,122,10,10020
11456,83,Buchs (ZH),1,Zürich,10080,Bezirk Dielsdorf,261960,2,261960,0,3,2,0,4,261801,0,0,3,1,261910,261,1,0,1,11,113,12,12031
11461,53,Bülach,1,Zürich,10081,Bezirk Bülach,261960,2,261960,0,3,2,0,4,261801,1,53,3,1,261910,261,1,0,1,11,113,12,12032
11464,4229,Bünzen,19,Aargau,10019,Bezirk Muri,0,3,0,0,14,3,0,3,0,0,0,5,1,0,0,0,0,2,22,227,11,11060
11465,1502,Buochs,7,Nidwalden,10110,Kanton Nidwalden,1061960,2,1061960,0,4,2,0,6,0,0,0,0,1,0,0,0,1,3,32,327,11,11050
11467,213,Brütten,1,Zürich,10074,Bezirk Winterthur,261960,2,261960,0,3,2,0,4,261810,0,0,4,1,261910,261,1,0,2,22,227,12,12040
